AD_HP数据：
('96e0b823-0c91-4a05-9c7e-3bae2383c510', 'ZBLF', '临汾/尧都')
('8c4ed8e5-982a-4522-8211-16b2c4e75e2f', 'ZBHZ', '霍林郭勒/霍林河')
('a714e90f-d3bf-440b-b96e-6cb13bc025ca', 'ZBXZ', '忻州/五台山')
('19d80b6d-0da0-4e97-aced-2884810ab206', 'ZBAA', '北京/首都')
('6f48f788-73f7-4709-aa0e-8c8cd871fd90', 'ZBYZ', '巴彦淖尔/天吉泰')
('e1ceea37-1a16-49a9-9940-5ef7f6eed05c', 'ZBES', '阿尔山/伊尔施')
('a6a6c77b-a2fe-4620-a90b-f525913b0e4e', 'ZBUH', '乌海')
('6808bc62-7d82-40dc-861c-85ce01b4526a', 'ZBHD', '邯郸')
('a3c272ba-daa0-44be-a7b1-95ff2cbd71ed', 'ZBZL', '扎兰屯/成吉思汗')
('252898f9-88e2-4530-b1b4-aebe252cbe74', 'ZBER', '二连浩特/赛乌素')
('781c4cc7-cf7f-4a83-baae-bd171e6ea0fb', 'ZBOW', '包头/东河')
('c643f861-9398-4f08-a777-434552176cd7', 'ZBYN', '太原/武宿')
('b32abeb6-dedb-4df8-a57d-ac5a20f977a9', 'ZBDT', '大同/云冈')
('e07aff01-d0fb-4aa9-aaa4-714c7498eeee', 'ZBAL', '阿拉善左旗/巴彦浩特')
('940b1444-b514-44b7-a598-341b60ea14b5', 'ZBMZ', '满洲里/西郊')
('70b6bb2b-7172-4b72-94b2-367f859d83f9', 'ZBEN', '额济纳旗/桃来')
('16104f09-0718-40eb-98de-45cd37397680', 'ZBXH', '锡林浩特')
('44b8aff9-086b-4396-82b6-dea77971bdcc', 'ZBSN', '唐山/三女河')
('ed491b05-e21e-4158-9fc5-085c1137c5f7', 'ZBDS', '鄂尔多斯/伊金霍洛')
('e3f70cc4-cbb7-4d6d-91c2-92111543a48f', 'ZBAR', '阿拉善右旗/巴丹吉林')
('6eb9947c-8a27-4e30-8976-ad80b15a6e1e', 'ZBLL', '吕梁/大武')
('244c8d3d-183f-4ed5-b25c-03b4d3bd5b1f', 'ZBCD', '承德/普宁')
('ee9c1a59-3a36-4e2c-abf8-9dbd5bb8211e', 'ZBHH', '呼和浩特/白塔')
('f52f970a-0b0c-4b47-b5b1-96eadc43d6a2', 'ZBUL', '乌兰浩特/依勒力特')
('4d9dea21-dd94-4745-8048-094cc6b52543', 'ZBSJ', '石家庄/正定')
('536cb54c-9353-4934-a098-3162e678c6fc', 'ZBYC', '运城/张孝')
('918b5d36-83af-459d-b383-6bce85295d36', 'ZBUC', '乌兰察布/集宁')
('77e90404-79fc-4e18-852f-3197375cbfbb', 'ZBTL', '通辽')
('3b13e29f-1f87-4d0f-acad-c8680892d753', 'ZBCZ', '长治/王村')
('ddf551e3-e32a-4f6c-b87e-90044a74a47a', 'ZBDH', '秦皇岛/北戴河')
('8bb10814-2233-4d30-9da8-1b1759930ff0', 'ZBLA', '呼伦贝尔/海拉尔')
('c6078304-a3ce-4975-aea7-6f0cf3f27d64', 'ZBTJ', '天津/滨海')
('61c147f9-125b-4838-8420-de9ed3864ddb', 'ZBCF', '赤峰/玉龙')
('cc25fbbe-c3b7-4bdf-9856-ca6d52319766', 'ZBAD', '北京/大兴')
('dc1ae658-915a-4c9a-b66c-16db43143d4b', 'ZBZJ', '张家口/宁远')
('08fa39fc-ab14-49a7-959f-aa15e25b1847', 'ZSSR', '上饶/三清山')
('041cd831-4711-4307-bea2-cce72c19aeac', 'ZSSL', '上海/龙华')
('7b8aa0ba-8379-451c-8c20-177e3fe5c443', 'ZSWH', '威海/大水泊')
('6fd5236a-e00d-49db-841f-502a01dd63f2', 'ZSJD', '景德镇/罗家')
('e3680d29-0bf5-420a-9e3a-a7c2b5ffd053', 'ZSTX', '黄山/屯溪')
('88e0256c-8183-4a38-b9e6-0b7ec75319ff', 'ZSNT', '南通/兴东')
('28ed296b-b03c-4115-bb22-368bc71df92c', 'ZSQD', '青岛/胶东')
('41217d79-0910-4519-9366-1f53e0acb3c9', 'ZSXZ', '徐州/观音')
